API, Freq
kerasinitializersdeserialize,0
kerasexperimentalLinearModel,0
kerasexperimentalLinearCosineDecay,1
kerasexperimentalCosineDecayRestarts,1
kerasexperimentalCosineDecay,4
kerasestimatormodel_to_estimator,8
kerasdatasetsmnistload_data,42
kerasdatasetsimdbload_data,17
kerasdatasetsimdbget_word_index,9
kerasdatasetsreutersload_data,0
kerasdatasetsreutersget_word_index,0
kerasdatasetsfashion_mnistload_data,8
kerasdatasetsboston_housingload_data,1
kerasdatasetscifar100load_data,0
kerasdatasetscifar10load_data,6
kerasconstraintsserialize,34
kerasconstraintsRadialConstraint,0
kerasconstraintsMinMaxNorm,0
kerasconstraintsMaxNorm,0
kerasconstraintsUnitNorm,0
kerasconstraintsget,43
kerasconstraintsdeserialize,1
kerascallbacksTerminateOnNaN,3
kerasconstraintsNonNeg,1
kerasconstraintsConstraint,5
kerascallbacksRemoteMonitor,0
kerascallbacksProgbarLogger,0
kerascallbacksModelCheckpoint,46
kerascallbacksTensorBoard,35
kerascallbacksReduceLROnPlateau,6
kerascallbacksLearningRateScheduler,8
kerascallbacksLambdaCallback,2
kerascallbacksHistory,5
kerascallbacksCallback,91
kerascallbacksBaseLogger,1
kerasbackendzeros_like,9
kerasbackendvariable,74
kerascallbacksEarlyStopping,16
kerascallbacksCSVLogger,1
kerasbackendzeros,19
kerasbackendupdate_add,0
kerasbackendtruncated_normal,0
kerasbackendtranspose,13
kerasbackendvar,74
kerasbackendupdate_sub,0
kerasbackendupdate,0
kerasbackendto_dense,0
kerasbackendtile,9
kerasbackendswitch,5
kerasbackendsum,21
kerasbackendtemporal_padding,0
kerasbackendtanh,0
kerasbackendspatial_3d_padding,0
kerasbackendspatial_2d_padding,0
kerasbackendsquare,2
kerasbackendstop_gradient,0
kerasbackendstd,0
kerasbackendsqueeze,8
kerasbackendsqrt,3
kerasbackendstack,3
kerasbackendsparse_categorical_crossentropy,1
kerasbackendsoftsign,0
kerasbackendsoftplus,0
kerasbackendsoftmax,0
kerasbackendsin,0
kerasbackendshape,39
kerasbackendsign,0
kerasbackendsigmoid,0
kerasbackendset_value,5
kerasbackendset_learning_phase,46
kerasbackendset_image_data_format,5
kerasbackendset_floatx,6
kerasbackendset_epsilon,2
kerasbackendseparable_conv2d,0
kerasbackendresize_volumes,0
kerasbackendresize_images,1
kerasbackendreshape,60
kerasbackendreset_uids,0
kerasbackendrepeat_elements,2
kerasbackendround,5
kerasbackendrnn,0
kerasbackendreverse,0
kerasbackendrepeat,2
kerasbackendrelu,0
kerasbackendrandom_uniform,0
kerasbackendrandom_normal_variable,0
kerasbackendrandom_normal,1
kerasbackendrandom_binomial,0
kerasbackendrandom_uniform_variable,0
kerasbackendprint_tensor,0
kerasbackendone_hot,4
kerasbackendpool3d,0
kerasbackendpool2d,0
kerasbackendprod,1
kerasbackendpermute_dimensions,1
kerasbackendplaceholder,15
kerasbackendones_like,8
kerasbackendpow,1
kerasbackendones,22
kerasbackendnormalize_batch_in_training,0
kerasbackendndim,4
kerasbackendmin,11
kerasbackendname_scope,15
kerasbackendmean,5
kerasbackendnot_equal,3
kerasbackendmaximum,17
kerasbackendmoving_average_update,0
kerasbackendminimum,11
kerasbackendmax,26
kerasbackendless,4
kerasbackendmap_fn,0
kerasbackendmanual_variable_initialization,0
kerasbackendlog,7
kerasbackendlocal_conv2d,0
kerasbackendlocal_conv1d,0
kerasbackendless_equal,2
kerasbackendl2_normalize,0
kerasbackendin_top_k,0
kerasbackendin_test_phase,0
kerasbackendis_sparse,4
kerasbackendlearning_phase,12
kerasbackendis_keras_tensor,0
kerasbackendin_train_phase,9
kerasbackendget_value,40
kerasbackendgreater,4
kerasbackendint_shape,24
kerasbackendgreater_equal,1
kerasbackendgradients,1
kerasbackendget_uid,5
kerasbackendimage_data_format,38
kerasbackendhard_sigmoid,3
kerasbackendgather,27
kerasbackendfunction,18
kerasbackendfoldr,0
kerasbackendfoldl,0
kerasbackendfloatx,46
kerasbackendflatten,4
kerasbackendexp,64
kerasbackendequal,7
kerasbackendeval,125
kerasbackendepsilon,46
kerasbackendelu,0
kerasbackendeye,0
kerasbackenddtype,5
kerasbackendexpand_dims,62
kerasbackenddropout,0
kerasbackenddot,44
kerasbackenddepthwise_conv2d,0
kerasbackendcumprod,0
kerasbackendctc_decode,1
kerasbackendctc_batch_cost,0
kerasbackendcos,0
kerasbackendconv3d,0
kerasbackendconv2d_transpose,0
kerasbackendconv2d,0
kerasbackendconv1d,0
kerasbackendcount_params,0
kerasbackendcast_to_floatx,1
kerasbackendconcatenate,32
kerasbackendclip,3
kerasbackendclear_session,68
kerasbackendcategorical_crossentropy,1
kerasbackendctc_label_dense_to_sparse,0
kerasbackendcast,42
kerasbackendconstant,16
kerasbackendbinary_crossentropy,2
kerasbackendcumsum,0
kerasbackendbias_add,7
kerasbackendbatch_set_value,6
kerasbackendbatch_normalization,0
kerasbackendbatch_get_value,8
kerasbackendbatch_flatten,0
kerasbackendbatch_dot,0
kerasbackendargmax,8
kerasbackendall,1
kerasbackendarange,12
kerasbackendany,1
kerasbackendbackend,5
kerasbackendargmin,0
kerasapplicationsvgg19preprocess_input,2
kerasapplicationsxceptionpreprocess_input,1
kerasapplicationsxceptiondecode_predictions,0
kerasbackendabs,2
kerasapplicationsvgg19decode_predictions,0
kerasapplicationsvgg16preprocess_input,1
kerasapplicationsvgg16decode_predictions,0
kerasapplicationsresnetpreprocess_input,0
kerasapplicationsresnet_v2preprocess_input,0
kerasapplicationsresnetdecode_predictions,0
kerasapplicationsresnet_v2decode_predictions,0
kerasapplicationsmobilenet_v2decode_predictions,0
kerasapplicationsnasnetpreprocess_input,0
kerasapplicationsnasnetdecode_predictions,0
kerasapplicationsmobilenet_v2preprocess_input,1
kerasapplicationsmobilenetdecode_predictions,0
kerasapplicationsmobilenetpreprocess_input,2
kerasapplicationsinception_resnet_v2preprocess_input,0
kerasapplicationsinception_v3preprocess_input,1
kerasapplicationsinception_v3decode_predictions,0
kerasapplicationsimagenet_utilsdecode_predictions,0
kerasapplicationsinception_resnet_v2decode_predictions,0
kerasapplicationsimagenet_utilspreprocess_input,1
kerasapplicationsdensenetpreprocess_input,0
kerasapplicationsdensenetdecode_predictions,0
kerasapplicationsXception,2
kerasapplicationsVGG19,3
kerasapplicationsVGG16,2
kerasapplicationsResNet50V2,1
kerasapplicationsResNet50,6
kerasapplicationsResNet152,2
