Name,Stars,Forks,Months,TF_version,Torch_version,Np_version
alexgolikov/deep-learning-book,26.0,6.0,24.0,none,none,none
jiexunsee/Neural-Network-with-Python,24.0,27.0,36.0,none,none,none
dnlcrl/PyFunt,24.0,4.0,48.0,none,none,numpy >= 1.11.0
jldbc/numpy_neural_net,24.0,9.0,48.0,none,none,none
chinmaydas96/Coursera-Machine-Learning-Python,24.0,4.0,36.0,none,none,none
IEEE-VIT/techloop-ml-plus,24.0,12.0,24.0,none,none,none
pyCGNS/pyCGNS,24.0,11.0,36.0,none,none,none
RemyPorter/ShadowMusic,24.0,2.0,12.0,none,none,none
uber/hypothesis-gufunc,24.0,2.0,12.0,none,none,none
PacktWorkshops/The-Data-Visualization-Workshop,25.0,33.0,12.0,none,none,nnumpy==1.17.4
RafayAK/NothingButNumPy,24.0,10.0,12.0,none,none,none
sahilparekh/GStreamer-Python,23.0,8.0,12.0,none,none,none
AlexIoannides/ml-workflow-automation,23.0,18.0,12.0,none,none,none
stovorov/ConjugateGradients,23.0,4.0,36.0,none,none,none
ajayns/moodify,23.0,5.0,36.0,none,none,nnumpy==1.12.0
abhinavsagar/pedestrian-detection,23.0,10.0,12.0,none,none,none
santiment/sanpy,23.0,7.0,24.0,none,none,none
Site1997/LeNet-python,23.0,8.0,24.0,none,none,none
ahmedfgad/NumPyCNNAndroid,22.0,12.0,24.0,none,none,none
buomsoo-kim/Introduction-to-Python-Programming,22.0,7.0,36.0,none,none,none
Trinkle23897/Artificial-Neural-Network-THU-2018,22.0,8.0,24.0,none,none,none
Unidata/python-awips,22.0,14.0,60.0,none,none,   - numpy
VACUMM/sphinx-fortran,22.0,18.0,60.0,none,none,nnumpy >= 1.0
onurtemizkan/zhang,22.0,12.0,36.0,none,none,none
MGHComputationalPathology/highdicom,22.0,4.0,12.0,none,none,none
ertugruldeniz/plakatanimasistemi,21.0,7.0,24.0,none,none,none
abdullahselek/spampy,21.0,6.0,24.0,none,none,none
LaurentRDC/npstreams,21.0,1.0,36.0,none,none,numpy >= 1.14
Computational-Intelligence-Fall18/Computational-Intelligence-Tutorials,21.0,9.0,24.0,none,none,none
MRedies/NPY-for-Fortran,20.0,3.0,36.0,none,none,none
sileixinhua/Python_data_science_by_iris,20.0,28.0,36.0,none,none,none
plotlabs/SNNs-In-Tensorflow,20.0,6.0,24.0,b'tensorflow==1.3.0,none,nnumpy==1.13.3'
alexvlis/Shape-Recognition,20.0,4.0,48.0,none,none,none
CwbhX/Jamais-Vu,20.0,5.0,36.0,none,none,none
UiO-CS/tf-wavelets,20.0,4.0,24.0,none,none,none
jaisayush/Fatigue-Detection-System-Based-On-Behavioural-Characteristics-Of-Driver,20.0,12.0,12.0,none,none,none
scivision/f2py-examples,20.0,5.0,48.0,none,none,none
eddelbuettel/rcppcnpy,20.0,14.0,84.0,none,none,none
tirthajyoti/Covid-19-analysis,20.0,17.0,0.0,none,none,none
Belval/NaiveCNN,20.0,4.0,36.0,none,none,none
cnelson/skydetector,20.0,6.0,24.0,none,none,none
